,duration,id,sentences,timestamps
0,139.04,v_sJFgo9H6zNo,A little boy playing on a jungle gym.,"[3.48, 17.38]"
1,139.04,v_sJFgo9H6zNo, He is climbing up a set of stairs.,"[3.48, 13.9]"
2,139.04,v_sJFgo9H6zNo, Now is sliding fast down a slide.,"[9.04, 18.77]"
3,139.04,v_sJFgo9H6zNo, Another boy is shown playing in the grass.,"[19.47, 27.11]"
4,139.04,v_sJFgo9H6zNo, Now the first boy is being picked up by a woman.,"[27.11, 38.24]"
5,139.04,v_sJFgo9H6zNo, Now he is going to go down the slide once again.,"[33.37, 45.19]"
6,139.04,v_sJFgo9H6zNo, The boy likes playing with a large wheel on the playground.,"[45.88, 51.45]"
7,139.04,v_sJFgo9H6zNo," Once again he goes down the slide, but with dad right behind him.","[65.35, 78.56]"
8,139.04,v_sJFgo9H6zNo, He goes down the slide a 4th time but with another little boy.,"[84.82, 98.02]"
9,139.04,v_sJFgo9H6zNo, He goes down the slide several more times.,"[111.93, 130.7]"
0,208.86,v_u2uoYvo8J5s,A man is opening his back door to let a little girl outside.,"[0, 11.49]"
1,208.86,v_u2uoYvo8J5s, The man is following the little girl.,"[0, 43.86]"
2,208.86,v_u2uoYvo8J5s, A little girl walks and points toward the camera.,"[9.4, 32.37]"
3,208.86,v_u2uoYvo8J5s, A dog enters the scene and the little girl jumps with happiness.,"[25.06, 30.29]"
4,208.86,v_u2uoYvo8J5s, The little girl walks around her slide.,"[36.55, 45.95]"
5,208.86,v_u2uoYvo8J5s, The little girl starts to climb up the slide and the man helps her get to the top.,"[43.86, 77.28]"
6,208.86,v_u2uoYvo8J5s, The little girl begins to play with the wheel and gets on her knees.,"[76.24, 99.21]"
7,208.86,v_u2uoYvo8J5s, The man helps the little girl go down the slide.,"[99.21, 115.92]"
8,208.86,v_u2uoYvo8J5s, The little girl goes to the swing and the man helps her into it.,"[115.92, 171.27]"
9,208.86,v_u2uoYvo8J5s, The little girl points at the camera.,"[152.47, 154.56]"
10,208.86,v_u2uoYvo8J5s, The man pushes the little girl on the swing.,"[174.4, 208.86]"
0,92.18,v_--0edUL8zmA,Four men are playing dodge ball in an indoor court.,"[6.91, 69.14]"
1,92.18,v_--0edUL8zmA, They start running towards the red balls after the coach blows the whistle.,"[11.06, 69.14]"
2,92.18,v_--0edUL8zmA, One of the players hits the ball on his opponent.,"[16.13, 69.14]"
3,92.18,v_--0edUL8zmA," The opponent strikes back at the other player, but he manages to dodge the ball.","[21.2, 69.14]"
4,92.18,v_--0edUL8zmA," Next, the player hits another ball directly at his opponent standing opposite him.","[27.19, 69.14]"
5,92.18,v_--0edUL8zmA, The player hits the ball hard on his opponent's leg.,"[33.19, 72.36]"
6,92.18,v_--0edUL8zmA, They continue playing several rounds of dodge ball.,"[41.48, 72.36]"
7,92.18,v_--0edUL8zmA, The player aims directly at one of his opponents and hits him on his leg.,"[58.08, 72.36]"
8,92.18,v_--0edUL8zmA, The game ends after the coach blows the whistle.,"[71.9, 72.36]"
0,125.27,v_c_NlYvL96y0,A girl is stretching her body on a ballet bar.,"[0, 5.64]"
1,125.27,v_c_NlYvL96y0, An instructor stands with a woman and talks about ballet.,"[5.01, 8.77]"
2,125.27,v_c_NlYvL96y0, The girl dances and pans back to the instructor.,"[8.77, 15.66]"
3,125.27,v_c_NlYvL96y0, The instructor talks about the tools you will need for ballet.,"[20.67, 25.68]"
4,125.27,v_c_NlYvL96y0, She talks about various ballet moves to do at the barre while the dancer demonstrates.,"[26.93, 125.27]"
0,83.06,v_hHiPEAiYKv0,A man is shoveling snow off his driveway in a heavy snow storm.,"[29.49, 33.64]"
1,83.06,v_hHiPEAiYKv0, He is wearing winter clothing and his fully covered.,"[33.64, 46.1]"
2,83.06,v_hHiPEAiYKv0, Another man is also shoveling snow off of he walkway of the house is not wearing any winter gear.,"[46.1, 59.39]"
3,83.06,v_hHiPEAiYKv0, They both continue to shovel and clean the snow in the heavy snow storm.,"[59.39, 62.29]"
0,108.03999999999999,v_GCtrfXIBbwA,young man is playing the harmonica.,"[0, 29.17]"
1,108.03999999999999,v_GCtrfXIBbwA, young man introduces his video lesson and lays out the lesson plan.,"[29.17, 58.34]"
2,108.03999999999999,v_GCtrfXIBbwA, Musical notes are displayed onscreen while harmonica plays.,"[58.88, 108.04]"
0,107.67,v_rs7er4e67ec,The video begins with details of a field hockey team's victory in the final championship game.,"[18.84, 32.84]"
1,107.67,v_rs7er4e67ec, The stadium shows the two teams competing in the game hockey.,"[32.84, 49.53]"
2,107.67,v_rs7er4e67ec, The crowd is loudly cheering as one team becomes victorious.,"[49.53, 64.6]"
3,107.67,v_rs7er4e67ec, The players jump on each other with joy as they celebrate.,"[64.6, 97.98]"
4,107.67,v_rs7er4e67ec, There is a stage of singers performing live music as they celebrate the victory of the winning team.,"[97.98, 107.67]"
0,71.82,v_6ZabZdqdLyA,Two small children are playing on a swingset on a snow covered yard.,"[0, 8.62]"
1,71.82,v_6ZabZdqdLyA," One child runs over to a swingset, but decides to change over to a green swing.","[11.13, 17.24]"
2,71.82,v_6ZabZdqdLyA, An adult helps the child onto the swing.,"[17.6, 33.04]"
3,71.82,v_6ZabZdqdLyA," The other child also wants to join the first child on the same swing, and holds the swing steady while the child climbs on.","[33.4, 47.04]"
4,71.82,v_6ZabZdqdLyA," The child is able to climb on, and the two children enjoy swinging together as the adult pushes the swing forward.","[47.4, 62.48]"
0,120.05,v_yUSo_xjyGhM,Two young boys are at a sink.,"[0, 120.05]"
1,120.05,v_yUSo_xjyGhM, One of the boys has no hands.,"[6.6, 120.05]"
2,120.05,v_yUSo_xjyGhM, He is washing the dishes.,"[13.21, 120.05]"
3,120.05,v_yUSo_xjyGhM, The other boy helps him clean.,"[23.41, 120.05]"
0,50.48,v_Ou24uqaFRPg,A furniture renovation company advertises their services by showing several homes and tools they have worked on and use and what type of work they do.,"[0, 50.48]"
1,50.48,v_Ou24uqaFRPg, A man in an apron carefully puts a colored substance on a plate.,"[9.84, 12.87]"
2,50.48,v_Ou24uqaFRPg, The man mixes two of the different colored substances with a paint brush.,"[15.4, 17.42]"
3,50.48,v_Ou24uqaFRPg, The man carefully touches the paint brush to an old table coloring portions of the table that have been damaged.,"[17.67, 25.49]"
4,50.48,v_Ou24uqaFRPg, A different man in an apron and face mask sands an old table.,"[25.75, 37.1]"
5,50.48,v_Ou24uqaFRPg, The man then puts polish on a rag and polishes the table.,"[31.05, 37.1]"
6,50.48,v_Ou24uqaFRPg, The man polishes a different old table.,"[37.36, 41.14]"
7,50.48,v_Ou24uqaFRPg, Information on how to reach the restoration company is displayed.,"[41.65, 50.48]"
0,35.97,v_sjyZWmvTGA4,Several men are blowing leaves in front of a home.,"[0.54, 27.34]"
1,35.97,v_sjyZWmvTGA4, One man is going all throughout the yard to blow the leaves.,"[3.06, 27.34]"
2,35.97,v_sjyZWmvTGA4, He clears out in front of the home.,"[5.75, 25.18]"
3,35.97,v_sjyZWmvTGA4, He also clears out by the shed.,"[10.07, 12.95]"
4,35.97,v_sjyZWmvTGA4, Another man is shown wandering through the yard.,"[27.34, 35.25]"
0,225.42000000000002,v_BxzOUJbq28s,A man with a beard is playing on a green drum.,"[0, 49.59]"
1,225.42000000000002,v_BxzOUJbq28s, The man starts adding in a second drum to the mix.,"[49.59, 181.46]"
